-79.95,40.60,Indians
-79.95,40.60,mlb
-53.19,-27.36,goodmorning
-53.19,-27.36,thursday
-53.19,-27.36,filter
-53.19,-27.36,reyes
121.07,14.70,CatholicLiedAboutPeter
-94.59,39.05,livefreeordie
-87.93,42.37,iloveit
-0.07,51.52,lndcoffeefestival
-0.07,51.52,UKCoffeeWeek
-0.07,51.52,LondonCoffeeFestival
101.67,3.13,malamjumaat
101.67,3.13,malamkeliwon
-72.33,18.54,JacksonBrowne
-85.76,38.23,muttsofinstagram
-97.75,30.28,DIY
-80.84,35.23,Charlotte
-80.84,35.23,Automotive
-80.84,35.23,Job
-80.84,35.23,Driver
-80.84,35.23,VeteranJob
-80.84,35.23,Jobs
-82.00,33.36,DEMETRIANS
36.53,28.40,صبايا_سوبر_ستايل
36.53,28.40,LaithAbuJoda
-74.00,40.72,timeslowdown
-74.00,40.72,tbt
-74.00,40.72,taxis
-74.00,40.72,iloveny
-74.00,40.72,thisisnewyork
-74.00,40.72,piccoliny
-80.26,25.75,ChickenParmSandwhich
-80.26,25.75,randazzo
-80.26,25.75,randazzos
-80.26,25.75,randazzoslittleitaly
-80.26,25.75,marcrandazzo
-81.66,30.32,tbt
-81.66,30.32,withmama
-81.66,30.32,memories
-8.72,42.23,Elvis
-8.72,42.23,sunny
-8.72,42.23,sol
-8.72,42.23,greycat
-8.72,42.23,lovely
-8.72,42.23,adorable
-95.56,33.66,Paris
-95.56,33.66,Retail
-95.56,33.66,Job
-95.56,33.66,LoveFashionLetsTalk
27.99,-26.19,FeelGoodFridays
-80.19,25.79,HelloMiami
-1.29,51.67,hadtobedone
21.85,39.07,trndnl
-82.45,36.11,AT2015
-82.45,36.11,AppalachianTrail
-82.45,36.11,NOBO
-82.45,36.11,ThruHike
-82.45,36.11,hikingtheAT
-80.78,35.16,civilwarbaseball
-80.78,35.16,PDSChargers
-47.07,-22.94,turismo
-47.07,-22.94,viagem
-47.07,-22.94,eua
-47.07,-22.94,eunocorreio
-1.14,53.52,KPRS
-1.14,53.52,RT
-1.14,53.52,kprs
-1.14,53.52,lpro
-1.14,53.52,Flbiz
-87.67,41.90,TBT
-0.13,51.51,trndnl
-74.01,40.71,QRcode
-87.57,37.97,Engineering
-87.57,37.97,Job
-87.57,37.97,Evansville
-87.57,37.97,VeteranJob
-87.57,37.97,Jobs
-87.57,37.97,Hiring
-87.57,37.97,TweetMyJobs
35.43,38.96,depresyondayız
35.43,38.96,trndnl
107.61,-6.91,explorebandung
107.61,-6.91,bandung
107.61,-6.91,TamanVanda
107.61,-6.91,nuhunkangemil
-83.00,39.96,Columbus
-83.00,39.96,Healthcare
-83.00,39.96,Job
-83.00,39.96,Jobs
-83.00,39.96,Hiring
-81.37,28.54,artlover
37.90,-0.02,trndnl
4.89,52.37,trndnl
17.55,62.20,trndnl
-74.01,40.71,BRVS
69.36,30.44,trndnl
-6.31,53.33,dublin
-6.31,53.33,crumlin
-9.14,38.99,Top3Apps
-9.14,38.99,perguntaaosdama
-75.88,41.26,blondetourage
-9.14,38.99,perguntaaosdama
-9.14,38.99,trndnl
12.67,64.56,SelfieForAaron
12.67,64.56,trndnl
-122.27,37.80,RealReptyTwo
122.96,10.63,THESCRIPTNSWSTOUR
-66.09,18.46,goodmorning
8.67,9.08,trndnl
100.24,6.45,MissYou
-1.89,52.48,Sales
-1.89,52.48,Job
-1.89,52.48,Birmingham
-83.97,37.70,Retail
-83.97,37.70,Job
-83.97,37.70,Irvine
-83.97,37.70,Diversity
-83.97,37.70,VeteranJob
-83.97,37.70,Jobs
-80.24,25.73,opie
-80.24,25.73,charthouse
-80.24,25.73,miami
-105.00,39.76,TerrifyingIfLiteral
-84.27,33.91,SchlitzMaltLiquor
-84.27,33.91,TBT
-86.77,21.09,meerkat
-86.77,21.09,AKidsLifeCancun
12.34,45.43,Venice
12.34,45.43,bienalle
12.34,45.43,art
12.34,45.43,Azerbaijan
-122.27,37.80,SWYD
-122.27,37.80,RealReptyTwo
-122.27,37.80,Eatngndastreets
14.00,14.00,osd2014
77.20,28.54,love
77.20,28.54,fun
77.20,28.54,datelunch
77.20,28.54,summertime
72.82,18.96,absoluteclass
72.82,18.96,KKRvsCSK
72.82,18.96,loveit
123.94,10.38,JFAV
-75.34,40.04,VUAASummit
118.75,9.85,AlvinTravels
118.75,9.85,Palawan
118.75,9.85,ElNido
-81.64,41.37,Independence
-81.64,41.37,Healthcare
-81.64,41.37,Job
-81.64,41.37,Jobs
-81.64,41.37,Hiring
-81.64,41.37,TweetMyJobs
-73.59,40.72,tbt
-73.96,40.72,yumyum
-73.96,40.72,frenchtoast
-76.87,38.85,groddlives
-60.02,-3.10,parceiradetreino
-60.02,-3.10,gaffstudio
121.03,14.46,foodtrip
121.03,14.46,colleagues
121.03,14.46,foodporn
120.98,15.48,TheAvengersAgeofUltron
-87.94,41.91,BrowsbySusan
11.18,58.73,Endomondo
11.18,58.73,endorphins
15.98,45.81,zagreb
-96.70,40.79,lnk
-96.70,40.79,handmadepaper
-96.70,40.79,yellow
-76.88,40.26,BaltimoreUprising
-76.88,40.26,trndnl
120.83,15.93,BIGBANGMADE
-79.94,37.27,Education
-79.94,37.27,Job
-79.94,37.27,Roanoke
-79.94,37.27,Jobs
-79.94,37.27,Hiring
-73.99,40.77,ROAR2019
-93.29,37.21,Sales
-93.29,37.21,Job
-93.29,37.21,Springfield
-93.29,37.21,Jobs
-93.29,37.21,Hiring
-92.90,67.53,tbt
-0.26,51.54,ForevermoreDurog
-5.97,36.25,workaway
-5.97,36.25,missu
3.31,7.12,IMAKAvideoBy__AM
139.49,35.33,bff
139.49,35.33,31girls
139.49,35.33,thankyou
121.04,14.49,laboredom
31.01,-29.83,pets
31.01,-29.83,cats
31.01,-29.83,kittylove
31.01,-29.83,mummasgirl
31.01,-29.83,mybaby
-97.77,30.25,Palm
-75.27,40.39,squad
-90.08,29.95,BroBroadway
-90.08,29.95,trndnl
-98.52,35.31,OKCBarons
-98.52,35.31,trndnl
-9.25,38.70,lrt
-81.38,28.54,trndnl
-1.54,54.51,goodday
-1.54,54.51,knowlEdge
-73.87,40.78,NYC
-80.00,40.44,trndnl
-123.37,48.43,Victoria
-123.37,48.43,IT
-123.37,48.43,Job
-123.37,48.43,Jobs
-123.37,48.43,Hiring
-74.02,40.90,Teaneck
-74.02,40.90,BusinessMgmt
-74.02,40.90,Job
-74.02,40.90,Jobs
-74.02,40.90,Hiring
-6.22,53.39,look
-0.13,51.51,tbt
-84.46,37.98,tinydancers
-71.41,41.82,trndnl
-85.76,38.25,ProjectMgmt
-85.76,38.25,Job
-85.76,38.25,Louisville
-86.56,33.68,tbt
-78.64,35.79,trndnl
-77.43,37.54,trndnl
-121.49,38.58,trndnl
-71.05,42.35,SMB40
115.86,-31.95,photo
10.32,36.84,Live
10.32,36.84,Home
10.32,36.84,BehindTheScenes
10.32,36.84,Photos
10.32,36.84,Facebook
-111.07,45.67,bdcnews
-111.89,40.76,Iran
-111.89,40.76,trndnl
-80.10,26.19,BaltimoreRiots
-3.30,53.11,ladyofleisure
-73.98,40.75,BryantPark
-84.07,33.43,tbt
-90.20,38.63,trndnl
95.58,4.63,GMSWorld
30.78,36.85,rainbow
30.78,36.85,düdenşelalesi
30.78,36.85,aniyakala
30.78,36.85,andakal
30.78,36.85,allshotsturkey
-85.34,40.83,Transportation
-85.34,40.83,Job
-85.34,40.83,Markle
-85.34,40.83,Jobs
-85.34,40.83,Hiring
-85.34,40.83,TweetMyJobs
-122.33,47.60,SIFF2015
-122.33,47.60,trndnl
78.46,17.38,Hyderabad
-84.28,30.44,trndnl
13.12,52.38,nowplaying
13.12,52.38,idacorr
13.12,52.38,feddelegrand
13.12,52.38,bbradio
13.12,52.38,rockt
-66.09,18.39,Contabilidad
-66.09,18.39,Empleo
-66.09,18.39,SanJuan
-66.09,18.39,Empleos
-66.09,18.39,Contratar
-66.09,18.39,TweetMyJobs
-77.03,38.90,ThankATeacher
-77.03,38.90,trndnl
